loss,mape,val_loss,val_mape
0.03721744567155838,198224.859375,0.012405015528202057,375529.96875
0.010844262316823006,87930.0625,0.012307099997997284,293599.09375
0.009981958195567131,77828.7109375,0.01084282249212265,311960.09375
0.009358984418213367,68353.15625,0.010253342799842358,292057.40625
0.00890133436769247,72396.0,0.009740035980939865,305537.71875
0.008313525468111038,64752.4140625,0.009236425161361694,277493.8125
0.008040525950491428,62685.90234375,0.00889582373201847,264636.53125
0.007592428475618362,58106.609375,0.008400690741837025,257479.75
0.0071268449537456036,60493.703125,0.007772205863147974,266271.9375
0.006635103840380907,56485.01171875,0.007920362986624241,230908.703125
